URL,Saved File,Depth
https://www.fhs.hr,crawled_output_en/fhs.hr.md,0
https://www.fhs.hr/en,crawled_output_en/fhs.hr_en.md,1
https://www.fhs.hr/en/Departments,crawled_output_en/fhs.hr_en_Departments.md,2
https://www.fhs.hr/en/deanery/teaching_and_student_service,crawled_output_en/fhs.hr_en_deanery_teaching_and_student_service.md,2
https://www.fhs.hr/en/dean,crawled_output_en/fhs.hr_en_dean.md,2
https://www.fhs.hr/en/deanery/publishing_service,crawled_output_en/fhs.hr_en_deanery_publishing_service.md,2
https://www.fhs.hr/en/cooperation/free_mover_mobility,crawled_output_en/fhs.hr_en_cooperation_free_mover_mobility.md,2
https://www.fhs.hr/en/deanery,crawled_output_en/fhs.hr_en_deanery.md,2
https://www.fhs.hr/en/deanery/maintenance_service,crawled_output_en/fhs.hr_en_deanery_maintenance_service.md,2
https://www.fhs.hr/en/deanery/procurement_department,crawled_output_en/fhs.hr_en_deanery_procurement_department.md,2
https://www.fhs.hr/en/about_us/academic_integrity/ethics_committee,crawled_output_en/fhs.hr_en_about_us_academic_integrity_ethics_committee.md,2
https://www.fhs.hr/en/cooperation/erasmus_experiences,crawled_output_en/fhs.hr_en_cooperation_erasmus_experiences.md,2
https://www.fhs.hr/en/contact,crawled_output_en/fhs.hr_en_contact.md,2
https://www.fhs.hr/en/deanery/research_and_projects_service,crawled_output_en/fhs.hr_en_deanery_research_and_projects_service.md,2
https://www.fhs.hr/en/about_us/academic_integrity,crawled_output_en/fhs.hr_en_about_us_academic_integrity.md,2
https://www.fhs.hr/en/deanery/it_service,crawled_output_en/fhs.hr_en_deanery_it_service.md,2
https://www.fhs.hr/en/courses-in-foreign-languages,crawled_output_en/fhs.hr_en_courses-in-foreign-languages.md,2
https://www.fhs.hr/en/deanery/deans_office,crawled_output_en/fhs.hr_en_deanery_deans_office.md,2
https://www.fhs.hr/en/academic-calendar,crawled_output_en/fhs.hr_en_academic-calendar.md,2
https://www.fhs.hr/en/about_us,crawled_output_en/fhs.hr_en_about_us.md,2
https://www.fhs.hr/en/deanery/legal_and_human_resources_service,crawled_output_en/fhs.hr_en_deanery_legal_and_human_resources_service.md,2
